date,weather,hightemp
2019/7/10,“ı,33
2019/7/11,”Í,30
2019/7/12,”Í,27
2019/7/13,“ı,31
2019/7/14,“ı,32
2019/7/15,“ı,29
2019/7/16,”Í,31
2019/7/17,”Í,29
2019/7/18,”Í,28
2019/7/19,”Í,30
2019/7/20,“ı,32
2019/7/21,“ı,33
2019/7/22,”Í,33
2019/7/23,”Í,31
2019/7/24,”Í,31
2019/7/25,“ı,32
2019/7/26,“ı,37
2019/7/27,«Á,37
2019/7/28,«Á,38
2019/7/29,”Í,38
2019/7/30,”Í,31
2019/7/31,”Í,31
2019/8/1,“ı,32
2019/8/2,“ı,37
2019/8/3,”Í,35
2019/8/4,”Í,34
2019/8/5,”Í,35
2019/8/6,”Í,33
2019/8/7,”Í,31
2019/8/8,”Í,32
2019/8/9,”Í,30
2019/8/10,“ı,34
2019/8/11,«Á,37
2019/8/12,«Á,38
2019/8/13,«Á,38
2019/8/14,“ı,35
2019/8/15,«Á,37
2019/8/16,«Á,38
2019/8/17,«Á,38
2019/8/18,«Á,39
2019/8/19,«Á,39
2019/8/20,«Á,39
2019/8/21,«Á,38
2019/8/22,“ı,38
2019/8/23,«Á,38
2019/8/24,«Á,39
2019/8/25,«Á,39
2019/8/26,«Á,39
2019/8/27,”Í,37
2019/8/28,”Í,30
2019/8/29,“ı,30
2019/8/30,“ı,29
2019/8/31,”Í,27
2019/9/1,“ı,27
2019/9/2,“ı,29
2019/9/3,“ı,32
2019/9/4,«Á,34
2019/9/5,”Í,30
2019/9/6,“ı,33
2019/9/7,”Í,31
2019/9/8,”Í,28
2019/9/9,”Í,27
2019/9/10,“ı,31
2019/9/11,“ı,34
2019/9/12,«Á,36
2019/9/13,”Í,35
2019/9/14,”Í,28
2019/9/15,”Í,23
2019/9/16,“ı,24
2019/9/17,”Í,24
2019/9/18,”Í,24
2019/9/19,”Í,26
2019/9/20,”Í,22
2019/9/21,“ı,27
2019/9/22,“ı,28
2019/9/23,“ı,30
2019/9/24,”Í,25
2019/9/25,“ı,21
2019/9/26,“ı,26
2019/9/27,«Á,30
2019/9/28,«Á,31
2019/9/29,«Á,33
2019/9/30,“ı,30
2019/10/1,”Í,29
2019/10/2,”Í,29
2019/10/3,”Í,28
2019/10/4,”Í,25
2019/10/5,”Í,24
2019/10/6,”Í,28
2019/10/7,”Í,21
2019/10/8,“ı,23
2019/10/9,”Í,25
2019/10/10,”Í,22
2019/10/11,“ı,20
2019/10/12,“ı,23
2019/10/13,”Í,24
2019/10/14,”Í,20
